3,1,0,0.000050
3,1,1,0.000029
3,1,2,0.000029
3,1,3,0.000028
3,1,4,0.000029
3,1,5,0.000039
3,1,6,0.000029
3,1,7,0.000026
3,1,8,0.000029
3,1,9,0.000027
3,1,10,0.000026
3,1,11,0.000028
3,1,12,0.000031
3,1,13,0.000026
3,1,14,0.000029
3,1,15,0.000031
3,1,16,0.000034
3,1,17,0.000028
3,1,18,0.000028
3,1,19,0.000030
3,1,20,0.000030
3,1,21,0.000028
3,1,22,0.000027
3,1,23,0.000027
3,1,24,0.000030
3,1,25,0.000028
3,1,26,0.000040
3,1,27,0.000027
3,1,28,0.000028
3,1,29,0.000028
3,1,30,0.000029
3,1,31,0.000027
3,1,32,0.000028
3,1,33,0.000028
3,1,34,0.000028
3,1,35,0.000030
3,1,36,0.000026
3,1,37,0.000036
3,1,38,0.000028
3,1,39,0.000029
3,1,40,0.000028
3,1,41,0.000027
3,1,42,0.000027
3,1,43,0.000029
3,1,44,0.000028
3,1,45,0.000036
3,1,46,0.000029
3,1,47,0.000029
3,1,48,0.000031
3,1,49,0.000025
