3,1,0,0.012646
3,1,1,0.000284
3,1,2,0.000257
3,1,3,0.000258
3,1,4,0.000272
3,1,5,0.000257
3,1,6,0.000255
3,1,7,0.000257
3,1,8,0.000259
3,1,9,0.000339
3,1,10,0.000254
3,1,11,0.000244
3,1,12,0.000257
3,1,13,0.000255
3,1,14,0.000256
3,1,15,0.000254
3,1,16,0.000252
3,1,17,0.000251
3,1,18,0.000257
3,1,19,0.000249
3,1,20,0.000253
3,1,21,0.000249
3,1,22,0.000328
3,1,23,0.000254
3,1,24,0.000247
3,1,25,0.000248
3,1,26,0.000254
3,1,27,0.000242
3,1,28,0.000245
3,1,29,0.000247
3,1,30,0.000255
3,1,31,0.000255
3,1,32,0.000250
3,1,33,0.000248
3,1,34,0.000253
3,1,35,0.000309
3,1,36,0.000259
3,1,37,0.000245
3,1,38,0.000245
3,1,39,0.000246
3,1,40,0.000249
3,1,41,0.000245
3,1,42,0.000252
3,1,43,0.000243
3,1,44,0.000262
3,1,45,0.000244
3,1,46,0.000251
3,1,47,0.000247
3,1,48,0.000299
3,1,49,0.000222
